index, count
1,0,
2,0,
3,0,
4,0,
5,0,4395
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,24,
17,15,
18,21,
19,13,
20,23,
21,20,
22,23,
23,21,
24,17,
25,29,
26,23,
27,27,
28,28,
29,25,
30,30,
31,16,
32,34,
33,28,
34,20,
35,25,
36,24,
37,26,
38,29,
39,24,
40,33,
41,33,
42,30,
43,36,
44,29,
45,32,
46,24,
47,20,
48,30,
49,24,
50,21,
51,22,
52,25,
53,26,
54,15,
55,18,
56,23,
57,11,
58,15,
59,16,
60,13,
61,19,
62,23,
63,17,
64,35,
65,24,
66,12,
67,19,
68,22,
69,16,
70,13,
71,10,
72,20,
73,17,
74,14,
75,22,
76,15,
77,17,
78,12,
79,22,
80,27,
81,19,
82,16,
83,15,
84,14,
85,18,
86,14,
87,12,
88,17,
89,19,
90,20,
91,13,
92,11,
93,11,
94,14,
95,7,
96,25,
97,22,
98,8,
99,16,
100,6,
101,20,
102,19,
103,13,
104,17,
105,17,
106,19,
107,16,
108,11,
109,14,
110,13,
111,14,
112,25,
113,12,
114,12,
115,15,
116,14,
117,17,
118,10,
119,15,
120,19,
121,16,
122,19,
123,12,
124,7,
125,19,
126,12,
127,16,
128,24,
129,17,
130,16,
131,16,
132,20,
133,17,
134,18,
135,14,
136,14,
137,15,
138,7,
139,16,
140,9,
141,19,
142,13,
143,20,
144,24,
145,8,
146,12,
147,14,
148,17,
149,16,
150,12,
151,19,
152,15,
153,10,
154,21,
155,17,
156,21,
157,11,
158,13,
159,14,
160,34,
161,20,
162,17,
163,19,
164,10,
165,13,
166,21,
167,22,
168,24,
169,17,
170,15,
171,23,
172,21,
173,13,
174,22,
175,20,
176,33,
177,16,
178,22,
179,18,
180,14,
181,25,
182,15,
183,18,
184,12,
185,23,
186,20,
187,19,
188,24,
189,23,
190,15,
191,19,
192,45,
193,29,
194,17,
195,22,
196,31,
197,40,
198,27,
199,38,
200,30,
201,29,
202,36,
203,31,
204,23,
205,25,
206,33,
207,30,
208,61,
209,27,
210,24,
211,20,
212,25,
213,29,
214,24,
215,26,
216,30,
217,34,
218,20,
219,22,
220,24,
221,20,
222,22,
223,16,
224,34,
225,15,
226,23,
227,16,
228,11,
229,15,
230,14,
231,12,
232,9,
233,13,
234,10,
235,8,
236,9,
237,9,
238,4,
239,0,
240,10,
241,0,
242,0,
243,0,
244,0,
245,0,
246,0,
247,0,
248,0,
249,0,
250,0,
251,0,
252,0,
253,0,
254,0,
255,0,
